uniqueId,clean_text,rep_score
44minicart1,dpr nya saja wfh,0.283
alanbiy2,yes enggak ada lagi cctv di jalan wkkw,0.142
roufabdul27,"adek"" awas hati"" pulang nya y.. jangan sendrian lebih baik bergeombol. takut di ciduk pas pulang nya",0.141
manay.kenya,polisi saja bela dpr,0.134
rehannchildnew,sangar pol,0.306
indahlestari54011,apararat kok mau menang sendiri......,0.198
roy_skucuy,semangat buat rakyat yang terzolimi,0.369
musuhcucupertama,"gapapa enggak sebanding pemerintah yang makan terus hak rakyat, ups",0.136
m..sugiannoor,"sekedar mengingatkan saja, bahwa yang kalian demo itu(dpr) adalah mantan mahasiswa juga",0.134
ki_ki745,kenapa pakai yang itu kan ada yang lebih besar,0.170
exteen00,"nembakin petasan saja enggak boleh, terus yang nembakin gas air mata apa kabar pak?",0.244
transs22,semangat,0.403
zidanmarss,enggak kedengaran juga di dalam,0.196
pro_gibran24,sampaikan aspirasi dengan sopan santun jangan anarkis,0.133
vexanaf,"ya allah ya rab hanya kepadamu kami meminta, lindungi mereka ya allah , mereka sedang berjuang untuk tahun tahun tahun kedepan ya allah . amin allahumma amin",0.192
sinta_....448,semakin lama mereka sembunyi semakin lama demo nya,0.200
dlacruis,mobil polisi yang lindas ojol saat demo enggak di up min?,0.147
khaqicollection,#kacau presiden nya tutup mata,0.236
maino1592,"gedung rakyat enggak perlu cctv keluar, perlunya cctv nya kedalem",0.109
akunfilm4,ini serius presiden diam saja?,0.360
ach_saad212,":diam ditindas, bergerak dilindas",0.234
ssseaannnnn,"dpr :""itu tiang tiang depan rusak, ajuin anggaran 1t""",0.159
zidan.dimu_,uzumaki vs uchiha,0.401
alva4686,semua pakai uang rakyat enggak usah takut,0.215
mamachilaa_,pak prabowo apa galihat rakyatnya pontang panting kayak begini pak,0.167
headlamp016,"bagaimana caranya sampaikan pendapat,? sedangkan pagar saja di tutup dan di gembok..logikanya di mana pak polisi?",0.116
afisariantoo,harusnya gaji yang besar itu kayak: 1.guru 2.dokter 3damkar soalnya perkerjaan yang berguna. kalo gaji gede pasti banyak yang mau jadi 3 perkerjaan itu(kecuali jangan orang dalam),0.102
kemxzt2,terus ojol yang dilind4s polisi bagaimana tuh,0.197
eliissajaaa._,guys ramein tiktoknya kak salsa erwina ya guys... suara dia yang memungkinkan untuk mendapatkan dukungan internasional karena dia cukup berpower di denmark,0.384
aksndlapaw,terus lu bisa seenaknya begitu mengarahkan gas air mata ke pendemo ?,0.218
piyanpiyan7959,"demo di depan gerbang wakil rakyat itu hanya simbolis. di jerman pernah ada demo di bandara. ketika bandara lumpuh, demo sehari saja langsung didengarkan. karena kaitannya sama kepentingan internasional. pasti dapat tekanan kalau ratusan maskapai asing tidak bisa terbang maupun landing. pelabuhan, bandara, jalur perdagangan utama lain itu vital..... lah kalau demo di jalur lambat ya cuma jadi tontonan. kecuali demo di lokasi tidak strategis itu tambah besar dan tak henti henti. ini juga bisa berdampak. cuma sekuat apa dan sebanyak apa orang yang mau berdemo di jalur lambat non strategis?",0.417
asbunkecil,narasi judulny seolah olah rakyat salah,0.142
azizah7485,bawa mobil sedot wc apa ya biar tuh semua pada sadar,0.212
shi.curut,jir dikira lagi mpls,0.237
mhmmdrifqii_,sih wowo lagi asik joget noh,0.197
hantujudes,"tidak menembakan gas air mata ke pendemo ,,!",0.276
nllgxtrr,"teman"" jangan ada yang memakai seragam soalnya banyak intel dari stasiun maupun sudirman, soalnya banyak yang ketangkep tadi pas gua di sudirman, info ini untuk anak"" smk/sama/sampai/stm yang mau ikut mohon lepas seragam soalnya intel lagi banyak banget lagi mantau anak anak pelajar, kalian pakai pakaian yang rada tebal dikit ataupun agar enggak kelihatan pelajar, sudah 20 pelajar ketangkep di polres gara"" di curigain + memakai seragam saat demo. sudah angin banget sekarang, ini gue peringatin ya hati hati buat pelajar yang mau ikut semangat buat kalian",0.407
darisziwonk,jangan melakukan pengrusakan nanti gajih dpr nya nunggak,0.199
uefirdaus86,lebih ngeri demo di pati,0.285
septianferdinata,"terserah mereka sih pak,itu cctv juga beli pakai uang rakyat.",0.153
tanpa_nama2889,"yang rusak 10jt, nanti perbaikan dianggarkan 100jt.",0.167
luxzzy10,"buat temen² yang baru mau jalan ikut demo tetap safety ya guys di stasiun sudirman+gbk banyak banget intel berkedok pelajar., karena banyak yang ketangkep tadi pas gue di sudirman. info nye buat smk/sama/sampai/stm yang mau ikut mohon lepas seragam soalnya intel lagi banyak banget lagi mantau anak anak pelajar. kalian pakai pakaian yang rada tebal dikit ataupun agar enggak kelihatan pelajar. sudah 20 pelajar ketangkep di polres gara"" sih curigain + memakai seragam saat demo. angin nye sudah chaos banget sekarang., sekedar saran - pakai pakaian yang safety banget!! - tutup identitas termasuk wajah sama sidik jari - kalau bawa kendaraan pribadi usahain jauh dari lingkungan demo semangat bro!!",0.359
oppo.account1,"memang didalam gedung itu ada anggota dpr nya, kan percuma demo kalo mereka saja lagi liburan",0.105
seonggokjeruk,yaelah petasannya juga cuman geli geli doang kayaknya,0.108
catlo978,semangat para rakyat,0.221
pak.dhe913,buat saudara2 yang turun untuk menyuarakan suara rakyat.. awas intel... jag sampai terpisah dari rombongan..,0.187
wong.ndeso7532,demo kok anarkasi tujuan demo apa ya,0.235
elzz.4you,"bukan lagi berani, tapi darah rakyat yang ditumpahkan. putihnya bukan suci, tapi kepolosan rakyat yang terus dimanfaatkan.""",0.407
pokoknyapengenkamu,ternyata 11/100 itu fakta,0.086
hallodewii_,andai presiden nya kang dedy,0.224
ridz_334,"waktu demo saya nemu dompet di tempat orang demo,lalu kubuka dompetnya alhamdulillah isi nya 5 juta, dan di dalam dompet juga ada ktp pemilik nya, saya bingung dan ragu mau di antarkan sayang isi nya 5 juta,kalo enggak di balikin kasihan yang punya dompet, takut ktp nya mau di pakai, tau sendiri mengurus ktp di negeri konoha ribet kalo enggak ada orang dalem, pokoknya uud, akhirnya saya antarkan dompet dan isi nya ke alamat rumah, pas saya sampai rumah pemilik nya jutek banget, pas saya bilang menemukan dompetnya sopan banget dia, langsung saya di suruh masuk ke rumah nya, di buat kan kopi dan di sandingkan kue, pas sudah 30 menit mengobrol saya pun pamit,dan saya bilang,ibu coba uangnya di hitung kembali, lalu ibu itu menghitung nya, dan alhamdulillah uangnya pas 5 juta, terus saya pun pamit dan tangan saya di tarik sama ibu itu, saya kira ada apa, enggak tau nya uangnya 5 juta mau di kasih saya semua,memang kalo sudah rezeki enggak kemana,katanya yang penting ktp balik sudah bersyukur banget,saya pun senang banget, pas saya pergi sudah keluar pagar ada yang panggil panggil saya,. pah..pah..bangun pah... sudah pagi takut berangkat kerja nya kesiangan anak sekolah sudah pada masuk takut macet, saya pun terbangun dan bengong, uwala...ternyata mimpi",0.413
nope70035,"woi dpr, buka lah pintu nya. biar duduk cantek kita didalam kantor sammma kayak kelen. duduk2 saja. dapat 100 jutaan perbulan",0.112
supir_tangerng_serpong,dari jaman persiden pertama dan sampai persiden yang terkini.peresidn mana sih yang paling baik enggak bikin sengsara rakyat serius bertanya dengan nada roy suryo,0.108
fibabagusyunifa,bangsa besar yang besar pajaknya,0.127
dbybed,btw ada yang ingat admin gerindra?,0.146
azees292,"tangkap yang korupsi,jangan yang demo coy",0.136
triono_a,"demo sangat boleh, ngerusak jangan~",0.255
kambing123wel,ada yang kelindes nobil polisi malah dilanjutin jalan,0.182
ca10v3,"selesai demo entar uang rakyat sendiri yang memperbaiki semua fasilitas2 yang rusak. enggak demo rakyat menyesak, tapi kalo demo malah masyarakat itu sendiri yang rugi",0.109
cek......sound,( ),0.000
shinpussss,kenapa yang di adu domba jadi aparat sama rakyat jir,0.165
mhmmdaldiiiiiiii,tolong apa jangan tembakin gas airmata ke masyarakat bisa enggak?,0.097
salah0rang_,"gaenak kan pak kalau suara nya enggak di dengar, nah itu yang dirasain rakyat",0.136
azka.operator.ss8,real presiden nya kalo mantan militer enggak aman,0.149
reh4natyaagenk,lagi mencari komen yohanez tapi enggak ada,0.124
29ms1,"di indonesia, dpr itu enggak bisa dibubarkan sembarangan. demo besar-besaran pun enggak bisa langsung bikin dpr bubar. presiden juga enggak boleh bubarkan dpr, karena sudah jelas tertulis di uud 1945 pasal 7c: “presiden tidak bisa membekukan atau membubarkan dpr.” jadi kalau mau benar-benar hapus dpr, caranya cuma satu, yaitu lewat perubahan uud 1945. yang bisa ubah uud itu mpr, isinya gabungan dpr dan dpd. masalahnya, proses ubah uud ini susah banget. sidang mpr harus dihadiri minimal dua pertiga anggota, dan dari yang hadir, setengah lebih satu orang harus setuju. karena anggota dpr juga duduk di mpr, otomatis mereka enggak akan gampang setuju kalau dpr mau dibubarkan, soalnya itu bikin mereka kehilangan kursi dan jabatan. jadi, jalan satu-satunya adalah rakyat kasih tekanan politik yang besar supaya wakil rakyat mau mengubah aturan. caranya bagaimana? pertama, rakyat bisa bikin tekanan lewat demo damai, petisi, kampanye di media sosial, dan sebagainya. kedua, pilih calon wakil rakyat di pemilu yang memang mau dukung ide bubarkan dpr. kalau sudah terpilih, mereka bisa bawa usulan perubahan uud ke sidang mpr. kalau mayoritas setuju, barulah dpr bisa resmi dibubarkan dan diganti dengan sistem baru. kalau ada yang coba bubarkan dpr di luar jalur ini, misalnya pakai kudeta, kekerasan, atau keputusan sepihak, itu dianggap melanggar konstitusi, enggak sah, dan malah bisa bikin negara masuk krisis politik.",0.415
kholifaturrosyida09,kami dari luar negeri mengikuti dan menyimak saja,0.165
user511620578934,"kayaknya negara ini butuh sosok yang otoriter, kenapa..? menurut saya jika negara ini menerapkan demokrasi maka akan sangat lambat untuk berkembang. tapi ya sudahlah kita nikmati saja.",0.094
flossarchive,"enggak boleh ngarahin petasan, lah lu ngarahin pistol?",0.123
nokturnals17,"enggak kedengaran cuy, masih jauh banget sama tempat dpr kerja. lo disitu cuma di bentrokin sama aparat doang",0.140
luvrr._xxraa,pada takut kah sama petasan,0.128
gulaarenart,sewa mobil septitank kak sudah folow,0.308
__eagle10,"yang teriak lususan sama dikasih senjata ya begitu, tanpa mereka sadar, yang di gedung sarjana, yang di demo sarjana, di demo sama calon sarjana. yang katanya berpendidikan",0.153
khalerq,kata polisi: sampaikan pendapat nya rakyat: jangankan pendapat tidak berpendapat saja enggak di dengar sama pejabat,0.198
mamazea246,hati hati bang jaga keselamatan juga,0.284
zakazakazaka37,"interview gue jadi di tunda gara"" ini wkwkw",0.125
username.230399,"jangan lihat sisi buruk dpr terus, coba lihat sisi baiknya enggak ada sama sekali",0.406
dhitox52,"demo yang benar itu demonya buruh, datang nyampaiin aspirasi kurang lebih 3 jam bubar sendiri karena niat merek menyampaikan aspirasi",0.089
ransel_anya,kenapa hanya pendemo yang disorot anarkis. kelihatan banget media enggak pro rakyat,0.148
yefrix3,semoga gerakanmu bisa merubah sifat pejabat2 kita ..amin ..,0.161
szansd,bagaimana kabarnya ojol?,0.247
wobsstangkis1,jangan sampai turun tangan orang batak dan karo. papua.mandailing,0.155
dicky_makassar,"kenapa enggak di temuin saja biar semua di jelasin dan cari jalan keluar nya biar enggak ada korban ,yang terhormat",0.116
rohmah884only,demo 98 kok bisa masuk gedung ya...,0.181
prba_tmplt,"waktu demo saya nemu dompet di tempat orang demo,lalu kubuka dompetnya alhamdulillah isi nya 5 juta, dan di dalam dompet juga ada ktp pemilik nya, saya bingung dan ragu mau di antarkan sayang isi nya 5 juta,kalo enggak di balikin kasihan yang punya dompet, takut ktp nya mau di pakai, tau sendiri mengurus ktp di negeri konoha ribet kalo enggak ada orang dalem, pokoknya uud, akhirnya saya antarkan dompet dan isi nya ke alamat rumah, pas saya sampai rumah pemilik nya jutek banget, pas saya bilang menemukan dompetnya sopan banget dia, langsung saya di suruh masuk ke rumah nya, di buat kan kopi dan di sandingkan kue, pas sudah 30 menit mengobrol saya pun pamit,dan saya bilang,ibu coba uangnya di hitung kembali, lalu ibu itu menghitung nya, dan alhamdulillah uangnya pas 5 juta, terus saya pun pamit dan tangan saya di tarik sama ibu itu, saya kira ada apa, enggak tau nya uangnya 5 juta mau di kasih saya semua,memang kalo sudah rezeki enggak kemana,katanya yang penting ktp balik sudah bersyukur banget,saya pun senang banget, pas saya pergi sudah keluar pagar ada yang panggil panggil saya,. pah..pah..bangun pah... sudah pagi takut berangkat kerja nya kesiangan anak sekolah sudah pada masuk takut macet, saya pun terbangun dan bengong, uwala...ternyata mimpi",0.413
arabiiiiiaaa,duh nanti dpr meminta kucuran dana karena kerusakan lagi,0.181
langitbirucerah08,damkar enggak mau pinjemin tank air nya buat pendemo,0.100
izulbaim15,itu demo apa ngerusak...itu yang teriak 98 memang dia deh lahir,0.300
kholisyma,nah begitu pada bawa petasan,0.227
edwards3841,"tahun depan enggak usah ada yang memilih dpr itu solusi bukan nya naik"" kayak begitu dpr malah goyang",0.144
ai.la.7,29 istirahat .. 30 gas lagi ..sampai semua anggota di resuffle ..sama profesional di bidangnya .. kalo kalian tetap mau dpr bubar bergabunglah dengan kami ..partai tanpa ketua,0.118
rio.bertino.silab,"teman teman mending enggak usah merusak fasilitas lah,itu kan di ganti pakai duit rakyat juga entar,adeuh mikir enggak sih",0.130
froppyxhx,"bang jangan dirusakin bang,nanti cuma benerin cctv doang habis 5m",0.210
hello.saturndz,harry potter pun kaget wkwk,0.197
young_guru_,"maunya pendemo jangan melakukan perusakan, salahnya siapa suruh dpr merusak mandat rakyat.",0.096
yajid160402,presiden prabowo kemana enggak ambil tindakan??,0.129
pamacik,bom molotov bagus juga,0.241
arinie202,demo mestinya fokus dpr bukan anarkis merusak fasilitas umum,0.210
_seblakgurl,buat teman² yang demo sehat² ya kalian,0.151
al_nasution.05,tidak menembakkan petasan ke petugas padahal juga petugas menembak gas,0.268
hdx1121,".. hati "" ya nak.... selamat berjuang.",0.180
novitamargaretha16,"maaf presidennya, bukan pilihan saya dulu",0.143
rahmagandhi23,alah petugas malah bawa senjata,0.175
thesniper135,"apapun kerusakan yang dilakukan demonstran, tidak sebanding dengan kerusakan yang dilakukan rezim",0.118
nanayy0004,enak banget ya diluar demo di dalam wfh jir lah,0.119
fucekyousat,padahal pagar di grinda dapat cuan tuh,0.111
ton_eight,kami sebagai rakyat kalo tidak di mulai enggak bakalan demo,0.132
yohanes.jr1,demo indonesia masuk luar negeri,0.156
sanzz_bjm,sebelum ribuan,0.127
user67763897,oh begini caranya demo,0.204
oblo_mendho,"sebegitunya mencari keadilan,",0.121
meiko.prayogo,"kalian melihat hanya dari segi buruknya doang, sebenarnya baiknya juga enggak ada",0.159
y0hanes555,"itu tiang listrik masih di pakai bang,lagian harga besi juga belum naik",0.161
tassyarosl,"coba pak polisi bilang itu ke dpr, soalnya mereka juga selama ini ngerusak rakyat",0.106
mtaufikku,mantap,0.405
rwijayas2018,mantab,0.400
rasya.fishink,dilarang nembakin petasan kepetugas terus petugas nya boleh begitu nembakin gas airmata kemasyarakatan yang lagih demo,0.208
lembusuro066,demo macam itu,0.277
titiek_soehartofans,"percuma bang, dari dalem enggak kedengaran",0.195
geriazra_01,puan mana???,0.200
ar1esw0man,nanti biaya renovasinya pakai uang rakyat lagi enggak ya…,0.158
alfiyaahhhhhhhh,"kenapa memang kalo bwa petasan anjir? terus gas air mata apaan, kentut?",0.174
fell.1229,plis seru banget demo,0.396
vannila.latte,"kacau sih, rakyat ribut prabowo malah tutup mata",0.202
cherryajaaaaa,penjualan petasan: semua petasan kami serba ada,0.295
cupriz_,semangat,0.403
tukangngintip69,contoh husein membela sudewo mobil dia baru,0.169
maryamstore55,"kok demo seperti orang kawal kerbau, cuma bertiga saja kah ?",0.135
fendipratama101,kami hanya butuh puan menemui saat demo,0.114
nelyagustin510,selalu yang dikorbankan diadudomba itu aparat dan rakyat .. pejabat ? sudah pasti ngumpet,0.101
anakchorla2,weh sound horeng nya mana kok enggak dikeluarin,0.177
kkbim83,apa susah nya ambil perwakilan demo untuk masuk gedung dan bermusyawarah di dalam mungkin tidak se anarki ini. tapi orang-orang dpr pada ngumpet tidak berani bertemu rakyaknya,0.127
linalin147,keren banget bang,0.289
adii_495,mereka merusak fasilitas yang di beli bawa perasaan duit mereka,0.124
coegeming,saying banget bukan aku itu gampang nya ngambil itu bang saya biasa pasang soalnya,0.121
nosmokiing,pak kenapa enggak di tangkap saja sih pak yang kayak begini,0.147
ry_rrii,yang dilindas itu di beritain enggak?,0.167
wirauti4,mereka enggak akan seperti itu kalau pintu dan gerbang dpr di buka dibiarkan mereka mengaspirasikan suara rakyat,0.143
sweet.ant,"massa nya banyak tapi kok kayak kelihatan nya enggak sekompak waktu dulu 98 ya, apa karena mencar2 enggak di satu titik jadi kayak kelihatan sedikit dulu waktu 98 bisa sampai naik ke atap loh, bagaimana cara naik nya itu dulu ya para mahasiswa, sudah begitu kumpul semua jadi satu, atau mungkin dulu aparat belum terlalu banyak terus peralatan juga belum terlalu canggih jadi aparat enggak mampu bendung massa para demo dulu",0.152
vel.hrwd,"kalo demo / aspirasi memang didengarkan, enggak bakal ada kekerasan",0.115
xxryana25,"anjing sodara gua yang pakai baju putih disitu juga, ikut demo",0.154
mquy.21,respeck mental nya bqng,0.215
edothekingofroad,semakin banyak yang dirusak nanti semakin banyak anggaran yang dikeluarkan buat perbaikan nya,0.154
awlsiwineee,"29 kalian tau kan hari apa, kasih dpr kejutan",0.143
dillasari51,"mereka tuh ya jadi kayak di adu domba anjir, sisi lain polisi hanya menjalani tugas mereka mereka juga enggak mau tuh meributkan orang diluar polisi. 2. polisi dan warga yang jadi ribut, sasaran warga kan pejabat2 nya bukan polisi nya jadi enggak puas suara2 kita bukan pejabat langsung yang dengar, pejabat enak lagi nyantuy2, menonton di tv itupun kalo ditonton ada yang lagi tidur dl nya enggak diperduliin. jadi capek2in demo yang ada cuma ribut sesama doang.",0.106
chchltefav,rusak juga kita yang bayar fasilitasnya bukan dari orang dpr kita yang byr kita yang rusak ya terserah kita lah,0.142
penghuni__bumi03,tiba tiba jadi mage,0.269
bunda_kalief24,"hati-hati anak ku di luar sana, tetap semangat",0.231
culay714,larangan adalah perintah,0.401
ihsanbaharudin04,mana wakil rakyat kaluar,0.135
madha_raisa,"enggak perlu menunggu satu periode kalau, enggak ada perubahan ataupun perbaikan sama sekali.",0.112
alfridha_ridha84,"gue dukung yang demo, agar kinerja pemerintahan bisa berbebenah dan lebih baik lagi agar benar-benar mensejahtrakan rakyat bukan malah mencekik dan nyengsarain rakyat sendiri, dilingkunganku banyak banget orang yang kurang mampu tapi enggak ada satupun wakil rakyat yang datang langsung melihat keadaan dan kesengsaraan warga di sekitarku aku kadang kasihan, anak-anaknya ngemis di minimarket atau kadang jadi tukang parkir agar bisa makan",0.085
prastya068,"berita sekarang cuma menyudutkan pengin demo,seolah² kalian enggak memperhatikan siapa yang memicu kemarahan pendemo.lucu kalian",0.095
mr.gofur5,selamat pagi indonesianya sama-sama makan minum air sama-sama membutuhkan makanan dan minuman itu kawan kasihan orang pemulung,0.172
fendiefendy46,"lihat vt demo ini saya jadi sadar pentingnya ootd bahkan saat demo,ya yang baju hitam stone island",0.179
willyandreash,makanya keluar dprnya,0.104
khomsatun2024,"hati hati mas,jangan sampai jatuh semangat boleh tapi keselamatan itu perlu",0.214
mamiyasmeen22,"jujur aku kasihan juga sama aparat tapi bagaimana ya,,,semua ini salah dpr dpr anjing",0.152
arraizza08,cctv yang beli juga uang rakyat mah rapopo sek bayar pajak kita,0.129
devdev08_,undang sound horeg sih harusnya,0.237
ravina.herawati,larangan adalah perintah,0.401
vbc..mar,larangan ada perintah,0.249
dailypril_,"sekarang menyalahkan pak prabowo, kedepannya kita enggak tau apa yang sudah di rencanain pak prabowo, nanti kalo indonesia sudah membaik karena pak prabowo, yang hate prabowo sekarang apa kabar?",0.188
butterrrr_flyyy,stay safe guys,0.401
chdrcyy,kenapa sih dpr itu enggak buka forum diskusi ? kenapa bes?,0.159
zulfaaudio5,mantap bos,0.257
zein_ciut,sebanyak itu enggak ada rayap besi nya?,0.280
barat181,nih demo yang benar fokus ke pokok utama jangan ngerusak fasilitas lain,0.150
mohamad.fauzan22,mantap,0.405
ironblood90,ya percuma nyampaikan pendapat kalo dpr-nya saja wfh,0.283
equivocaly,pernah terbayang enggak apa jadinya bila polisi libur menjaga gedung dpr?,0.097
rnldiwx,yang gede,0.374
kurimoh,ingat,0.142
wahyuajh28,pak browo kemana kabur presiden nya rakyat demo enggak ada yang nanggapi parah presiden kita,0.173
fthlrzkrz_,negara macam apa ini,0.317
ais.son.of_god,demo suruh ramah itu bagaimana? memang bakal di dengar?,0.126
alpagaral,kurang meriam voc bang,0.155
in_nay_,mana nih truk sedot wc,0.246
kenkendjuanda504,bubarkan dpr,0.405
akhmadhn,apa sih yang di demoin ini tuntutannya. enggak mengerti blas,0.113
ipoel339,dpr malah senang bang karena bisa buat anggaran pengecetan pagar n anggaran cctv,0.165
xfire068,hati hati wahai anak anak ku hati hati,0.324
rizali0931,indonesia mah masih aman pejabat2nya soalnya demonya cuma teriak2 doang. masih bisa ketawa lebar para pejabatnya....,0.092
_badrudbad,masak masih enggak dengar ada demo diluar yang di dalam ?,0.116
sitibadriah623,"nah ini yang aku mau komen mengira enggak ada yang kepikiran buat pakai petasan, ternyata alhamdulillah ada",0.146
indoshitpost,berita terbaru ojol dilindas mobil aparat lansung meninggal,0.183
ragnel7,didiemin malah menantang,0.191
anggry.awan,ini mau demo apa mau ngerusak sih. terus itu orang yang terlindas siapa yang salah.,0.171
melisaaulia290,"lain kali enggak usah memilih lagi, lebih baik kita lindungi masyarakat kita dari benalu ini (dpr). dpr di gaji dari pajak kita,sama dengan parasit.",0.101
naomi01173,"doang aparat, mereka hanya mau tuh para pejabat turun temui yang mereka wakilkan, aparat enggak usah ikut campur sampai menghalangi mereka, tugas anda hanya mengamankan bukan menyerang rakyat yang demo, yang gaterima fakta berarti mereka keluarga sih cklt",0.092
bublegum6660,ada salah satu media yang ngangkat berita tentang demo tapi headlinenya ada kata pendemo semakin anarkis,0.146
watixsdaffadhil,negara kondisi hancur begini gara-gara prabowo menaikkan gaji dpr... menyesal gue mlih wowo,0.181
mcr.notforme,"apa kabar ojol yang kelindes kok lo enggak koar"" min",0.175
fndypcrs,semangat siswa siswa yang sedang berjuang,0.263
adinaroseliaa,"lu yang pada demo begitu gue yang ngeri ih, ngeri pada di tangkep2in terus di siksa",0.198
rudunsuh,tetap semangat sodara2 ku,0.169
hendrik02820,semoga para pendemo diberikan kesehatan selalu,0.203
hj.marlong,bom molotov gunanya apa?,0.241
akun.kedua894,dpr nya chil sambil tersenyum miris warga di adu sama kepolisian,0.129
bocaproyek,"cari artis dpr yang joged""",0.148
profitteru5,harus nya ke rumah puan sih. gedung dpr sudah pasti kosong itu enggak ada orang kcuali lagi sidang,0.164
drazone.id,senin ada lagi demo enggak bang?,0.229
om_burhan_yohanes,yang demo suatu saat pasti ada yang jadi anggota dpr juga...yakin saya,0.160
asfairygirl,puan belum keluar narasi lagi?,0.152
sulis.tianah5,dpr anjing,0.227
ria01055,"kayak begini saja enggak didenger,",0.175
tytwn,semoga para pendemo sehat selalu selamat sampai selesai,0.246
teruslah.berusaha,pendemo di atur enggak boleh ini .itu...ptugs bbs...nglukai pendemo,0.104
just.a_narawho,bawa sound horeg pls 10 biji,0.314
key_story,"terima kasih untuk teman-teman yang sudah berdemo, tapi janganlah merusak fasilitas negara, karena merusak fasilitas negara sama saja dengan membuka peluang korupsi baru, karena fasilitas yang dirusak akan dilakukan perbaikan kembali dengan menggunakan uang rakyat, yang mana biaya tersebut sudah pasti akan di markup oleh pihak yang mendapatkan jatah untuk melakukan perbaikan, yang mana rakyatlah yang kembali jadi korban.",0.127
xzyayaa_27,yang salah itu dpr bukan presiden hdeh presiden butuh rakyat buat brantas dpr,0.120
ikhwanardian_,bawa telur busuk bang,0.182
sakura4708,perwira pak pol enggak mau pakai pl karet terlalu sayang jabatan,0.139
mhmmdrdhmrdnsyh,"lucu ya dilarang pakai petasan tapi mereka pakai gas air mata, tolol",0.207
usercantikkajh,jangan masanya saja yang di liput tuh lihat mobil brimob lindas ojol sampai tewas,0.202
dir.pak,ini yang betul betul demo namanya,0.210
wegazarkasy,"secara enggak langsung, dpr berhasil ngalihin amukan rakyat dari mereka ke polisi / brimob. yang dicari rakyat dari pagi adalah anggota dpr untuk menyampaikan protes secara langsung. tapi ya mereka semua enggak ada ditempat , yang ada cuma aparat yang mau enggak mau harus menjalankan itu gas. pada akhirnya seperti biasa, kontak fisik aparat dengan rakyat pecah. dan seperti biasa pula, tiap ada konflik dan korban, berujung masyarakat semakin membenci aparat. lalu anggota dpr yang seharian ini menonton tv dari rumah bisa senyum2, karena esok hari perhatian, fokus, cacian dan makian masyarakat sudah ke arah yang berbeda",0.400
bella_miziana,petasan kecil saja takut,0.216
usertg411,"salut sama pendemo,enggak kenal dia siapa tapi saling percaya dan membantu",0.169
youarejend_,melihat bapak²nggak ngeri apa- apa kenak masa sama polisi sedih banget lihat nya. padahal dia cari menafkahi buat keluarga nya,0.127
matxhaez,kepada adek adek,0.287
swandhiiee,plis gais post vidio ojol yang di lindes brimob itu,0.259
aqby_shzdn,"masyarakat enggak boleh nembaki pakai petasan,lah petugas saja menembak gas air mata",0.190
ketoprakgoceng52,pak prabowo menghilang dari lane,0.240
stzmrtldwyh,"biarkan saja siapa suruh enggak bukain pintu gerbangnya ,, bukannya didiskusikan tapi malah sembunyi semua anggota dprnya",0.098
x.x.x.b.i.89,harap buat para pendemo jangan lepas penutup muka .buat ke amanan saja .gua yakin banyak yang mantau lewat cctv,0.101
dini..java,kurang gede,0.401
dindaaliyana,: guys... ramein tiktoknya kak salsa erwina ya guys.. cuma suara dia yang memungkinkan untuk mendapatkan dukungan internasional.,0.404
milona_2,"semoga abang ojolnya di terima amal ibadahnya dan di tempatkan di tempat yang terbaik, untuk mobil brimob nya semoga dapat balasan yang se adil""nya yaallah amin",0.132
ani.kusrini88,"coba salah satu dewan keluar dan menanggapi para pendemo pasti tidak akan ricuh dan tidak akan ada korban ,ingat polisi jangan anarkis",0.142
dgclosestory,enggak seberapa ini mah sama gaji dpr yang 3jt/hari...cctv paling ratusan ribu dianggarin puluhan sampai ratusanjuta awokwok ok gas ok gas,0.221
icii119,"enggak usah mendengarkan bang,pemerintah saja enggak ada yang dengar keluh kesah masyarakat",0.183
anugrahuripsaputr,sepemikiran kita bro,0.345
yaya1a3a,jangan menembakan petasan lah mobil brimod malah ngelindes orang,0.114
userqd5h0iynx8,"lah karena aparat yang micu kemarahan pendemo, sudah capek berdiri dengan jeritan aspirasi, waktu mau habis, tetap juga dihalangi",0.082
user3082948706036,apa ads demo kayak begini,0.226
who0ooooon_,pov: geng ster turun tangan,0.206
si.curut.ab,yang di pagar harap untuk turun bro berpikir : wah.. iya juga ya aku harus turun maafkan aku pak petugas,0.146
hanszz_007,wkwkwkwk konoha saudaranya india nih,0.158
jeze736,"petugas saja menembak gas air mata terus ada yang kelindes mobil pol*** juga bagaimana tuh... coba tuh yang dalam gedung suruh keluar jangan berlindung dibalik aparat,,enggak bakal kisruh,enggak ada satupun yang keluar untuk menerima aspirasi masyarakat.",0.145
sikasepsauribu,"kalo sih yohanes sudah komentar disini, kasih kabar..!!!!",0.098
agungpradinata_,kurang besar bang mercon enggak,0.189
ilhamilyas818,mantam a,0.000
duarrrrrrrrrrz,"sebenarnya puncak tertinggi kekuasaan itu rakyat apa bukan, ini rakyat meminta hak nya malah dibeginikan lama lama bukan demo lagi nanti ada masa yang nyulut api revolusi pemerintah baru melek, perang saudara enggak bisa dihindari memang begitu ya mau pemerintah",0.104
user5414518287511,semoga kalian saudara ku dalam lindungan allah,0.223
elelelelelelelelee5,di atasnya malin kundang masih ada polisi!!,0.174
fafifu2,“silakan sampaikan pendapatnya” heleh kocak kaya mau mendengarkan saja,0.275
